ch,pyn,py,en
訾,zi1 / zi3,zǐ,"(surname) / backbite / wealth, backbite / dislike
to slander / to detest"
莳,shi2 / shi4,shí,"Peuceclanum gravelens / to plant
to grow / to transplant"
菪,dang4,dàng,"henbane
henbane"
槠,zhu1,zhū,"Quercus glanca
Quercus glanca"
俜,ping1,pīng,"forlorn
to send / to let go"
觚,gu1,gū,"goblet / rule / law
goblet / rule / law"
撄,ying1,yīng,"oppose / to attack
oppose / to attack"
嵫,zi1,zī,"name of a mountain in Gansu
see 崦嵫[Yan1 zi1]"
桴,fu2,fú,"beam / rafter
beam / rafter"
晡,bu1,bū,"3-5 p.m.
3-5 p.m."
爨,cuan4,cuàn,"(surname) / cooking-stove / to cook
cooking-stove / to cook"
悫,que4,què,"honest
honest"
锇,e2,tiě,"osmium
osmium (chemistry)"
锖,qiang1,qiāng,"the color of a mineral
the color of a mineral"
蝾,rong2,róng,"salamander
salamander"
柙,xia2,xiá,"cage / pen / scabbard
cage / pen / scabbard"
滹,hu1,hū,"(surname) / name of a river
surname Hu / name of a river"
莨,lang4,láng,"Scopalia japonica maxin
Scopalia japonica maxin"
尻,kao1,kāo,"end of spine
coccyx / tailbone at end of spine / rear joint of meat animal"
罨,yan3,yǎn,"foment / valve
foment / valve"
锔,ju1 / ju2,jú,"mend chinaware with staples, curium
curium (chemistry)"
筲,shao1,shāo,"basket / bucket
basket / bucket"
妣,bi3,bǐ,"deceased mother
deceased mother"
谳,yan4,yàn,"decide judicially
to decide judicially"
菡,han4,hàn,"lotus blossom
lotus blossom"
崦,yan1,yān,"name of a mountain in Gansu
name of a mountain in Gansu"
狺,yin2,yín,"snarling of dogs
snarling of dogs"
杌,wu4,wù,"low stool
low stool"
秭,zi3,zǐ,"billion
billion"
豇,jiang1,jiāng,"cowpeas / black-eyed beans
cowpeas / black-eyed beans"
鲵,ni2,ní,"Cryptobranchus japonicus / salamander
Cryptobranchus japonicus / salamander"
蘧,qu2,qú,"(surname) / Dianthus superbus
Dianthus superbus"
阚,kan4,kàn,"(surname) / peep
to glance / to peep"
悝,kui1 / li3,kūi,"laugh at, sad
worried / afflicted"
铌,ni2,nǐ,"niobium
niobium (chemistry)"
缑,gou1,gōu,"(surname)
surname Gou"
瑗,yuan4,yuàn,"large jade ring
large jade ring"
椹,shen4 / zhen1,shèn,"fruit of mulberry
variant of 葚[shen4]"
旰,gan4,gàn,"sunset / evening
sunset / evening"
蓍,shi1,shī,"Achillea sibirica
yarrow (Achillea millefolium)"
钐,shan1,shàn,"samarium
samarium (chemistry)"
锬,tan2,tán,"long spear
long spear"
镪,qiang1 / qiang3,qiāng,"sulfuric acid, money / string of coins
money / string of coins"
绡,xiao1,xiāo,"raw silk
raw silk"
檎,qin2,qín,"(fruit)
(fruit)"
茕,qiong2,qióng,"alone / desolate
alone / desolate"
渫,xie4,xiè,"(surname) / get rid of / scatter
to get rid of / to discharge / to dredge"
辂,lu4,lù,"chariot
chariot"
欷,xi1,xī,"to sob
to sob"
轾,zhi4,zhì,"back and lower of chariot / short / low
back and lower of chariot / short / low"
戢,ji2,jí,"collect oneself / put away
to restrain oneself / to collect / to hoard / to store up / to cease"
趼,jian3,jiǎn,"callous
callus (patch or hardened skin) / corns (on the feet)"
芈,mi3,miē,"(surname)
to bleat (of a sheep)"
苈,li4,lì,"Drabanemerosa hebecarpa
Drabanemerosa hebecarpa"
歃,sha4,shà,"drink
to drink"
燠,yu4,yù,"warm
warm"
耜,si4,sì,"plough / ploughshare
plow / plowshare"
顸,han1,hān,"dawdling
dawdling"
蚵,e2 / ke1,hé,"oyster
oyster (Taiwanese)"
哓,xiao1,xiāo,"a cry of alarm / querulous
a cry of alarm / querulous"
澌,si1,sī,"drain dry / to exhaust
drain dry / to exhaust"
郜,gao4,gào,"(surname) / name of a feudal state
surname Gao / name of a feudal state"
徼,jiao3 / jiao4,jiào,"by mere luck, boundary / go around
boundary / to go around"
籀,zhou4,zhòu,"(surname) / (writing) / develop
(writing) / to develop / seal script used throughout the pre-Han period"
陬,zou1,zōu,"corner / foot of mountain
corner / foot of mountain"
蕤,rui2,rúi,"fringe / overladen with flowers
fringe / overladen with flowers"
叻,le4,lè,"place names
(used in place names)"
舳,zhu2,zhú,"poopdeck / stern of boat
poopdeck / stern of boat"
缋,hui4,hùi,"multi-color / to draw
multi-color / to draw"
镗,tang1 / tang2,tāng,"noise of drums
noise of drums"
褙,bei4,bèi,"paper or cloth pasted together
paper or cloth pasted together"
耋,die4 / die2,diè,"aged / in one's eighties
aged / in one's eighties"
猁,li4,lì,"a kind of monkey
a kind of monkey"
桷,jue2,jué,"rafter / malus toringo
rafter / malus toringo"
锾,huan2,huán,"(ancient measure) / money
ancient unit of weight / money"
颟,man1,mán,"dawdling
dawdling"
跽,ji4,jì,"kneel
kneel"
悛,quan1,quān,"to reform
to reform"
艨,meng2,méng,"war-boat
ancient warship / see 艨艟, ancient leatherclad warship"
颡,sang3,sǎng,"forehead / kowtow
forehead"
髹,xiu1,xīu,"red lacquer / to lacquer
red lacquer / to lacquer"
桫,suo1,suō,"Stewartia pseudocamellia
horse chestnut / Stewartia pseudocamellia (botany)"
葸,xi3,xǐ,"feel insecure / unhappy
feel insecure / unhappy"
屣,xi3,xǐ,"slippers
slippers"
獒,ao2,áo,"mastiff
mastiff"
瘌,la4,là,"scabies / scald-head
scabies / scald-head"
佴,er4,èr,"assistant
assistant"
隰,xi2,xí,"(surname) / low / marshy land
low / marshy land"
昃,ze4,zè,"afternoon / decline
afternoon / decline"
螓,qin2,qín,"small cicada with a square head
small cicada with a square head"
廨,xie4,xiè,"office
office"
黥,qing2,qíng,"(surname) / tattoo criminals on face
to tattoo criminals on the face or forehead"
豳,bin1,bīn,"name of an ancient city
name of an ancient county in Shaanxi / variant of 彬[bin1]"
荑,ti2 / yi2,tí,"(grass), to weed
to weed"
蓊,weng3,wěng,"a plant in bloom / thick
luxuriant vegetation"
揎,xuan1,xuān,"pull up sleeves / strike with fists
to roll up one's sleeves / to slap with the palm"
娈,luan2,luán,"beautiful
beautiful"
嫜,zhang1,zhāng,"husband's parent / lady in the moon
husband's father"
毽,jian4,jiàn,"shuttlecock
shuttlecock"
砑,ya4,yà,"to calender
to calender"
剀,kai3,kǎi,"carefully / moderately
carefully / moderately"
薷,ru2,rú,"Elshotria paltrini
Elshotria paltrini"
怃,wu3,wǔ,"disappointed / startled
disappointed / startled"
怿,yi4,yì,"pleased / rejoice
pleased / rejoice"
骐,qi2,qí,"piebald horse
piebald horse / used for 麒[qi2], mythical unicorn"
霈,pei4,pèi,"torrent of rain
torrent of rain"
蝻,nan3,nǎn,"immature locusts
immature locusts"
坩,gan1,gān,"crucible
crucible"
鹇,xian2,xián,"silver pheasant badge worn by civil officials of the 5th grade
silver pheasant (Phasianus nycthemerus) / silver pheasant badge worn by civil officials of the 5th grade"
鹣,jian1,jiān,"mythical bird with 1 eye and 1 wing
mythical bird with one eye and one wing / see also 鰈鶼|鲽鹣[die2 jian1]"
舴,ze2,zé,"small boat
small boat"
鲭,qing1,qīng,"mackerel / mullet
see 鯖魚|鲭鱼[qing1 yu2]"
傺,chi4,chì,"detain / hinder
to detain / to hinder"
枘,rui4,rùi,"tenon / tool handle
tenon / tool handle / wedge"
秕,bi3,bǐ,"grain not fully grown / husks / withered grain / unripe grain
variant of 秕[bi3]"
忉,dao1,dāo,"grieved
grieved"
磲,qu2,qú,"Tridacna gigas
Tridacna gigas"
侑,you4,yòu,"urge to eat
urge to eat"
萁,qi2,qí,"stalks of pulse
stalks of pulse"
葳,wei1,wēi,"luxuriant
luxuriant"
貘,mo4,mò,"tapir
tapir"
葶,ting2,tíng,"Draba nemerosa bebe carpa
Draba nemerosa bebe carpa"
枨,cheng2,chéng,"door post
door post"
棹,zhuo1 / zhao4,zhuō,"table
oar (archaic) / scull / paddle / to row / a boat"
纛,dao4,dào,"big banner / feather banner or fan
big banner / feather banner or fan"
嶷,yi2,yí,"name of a mountain in Hunan
name of a mountain in Hunan"
妁,shuo4,shuò,"(surname) / matchmaker
matchmaker / see 媒妁[mei2 shuo4]"
羝,di1,dī,"billy goat / ram
billy goat / ram"
骖,can1,cān,"outside horses of a team of 4
outside horses of a team of 4"
祧,tiao1,tiāo,"ancestral hall
ancestral hall"
淠,pi4,pì,"luxuriant (of water plants)
luxuriant (of water plants)"
畎,quan3,quǎn,"field drains
field drains"
箨,tuo4,tuò,"sheath around joints of bamboo
sheath around joints of bamboo"
鳐,yao2,yáo,"ray (fish)
skate (cartilaginous fish belonging to the family Rajidae) / ray (fish)"
剡,shan4 / yan3,yǎn,"river in Zhejiang, sharp
sharp"
嫫,mo2,mó,"ugly woman
ugly woman"
戽,hu4,hù,"water bucket for irrigation
water bucket for irrigation"
糗,qiu3,qǐu,"(surname) / dry provisions
dry rations (for a journey) / (dialect) (of noodles etc) to become mush (from overcooking) / (coll.) embarrassing / embarrassment"
坼,che4,chè,"to crack / split / break / to chap
to crack / to split / to break / to chap"
璺,wen4,wèn,"a crack, as in porcelain
a crack, as in porcelain"
栊,long2,lóng,"bar / cage / gratings
bar / cage / gratings"
镝,di1 / di2,dí,"dysprosium
arrow or arrowhead (old)"
疔,ding1,dīng,"boil / carbuncle
boil / carbuncle"
瘰,luo3,luǒ,"scrofula / tuberculosis of glands
scrofula / tuberculosis of glands"
谮,zen4,zèn,"slander
to slander"
辋,wang3,wǎng,"tire / wheel band
tire / wheel band"
劂,jue2,jué,"chisel / engrave
chisel / engrave"
潋,lian4,liàn,"full of water / trough
full of water / trough"
孓,jue2,jué,"larvae of mosquito
see 孑孓[jie2 jue2]"
鲳,chang1,chāng,"a type of fish
see 鯧魚|鲳鱼[chang1 yu2]"
铙,nao2,náo,"big cymbals
big cymbals"
萆,bi4,pì,"castor seed
castor seed"
碲,di4,dì,"tellurium
tellurium (chemistry)"
沭,shu4,shù,"river in Shandong
river in Shandong"
怍,zuo4,zuò,"ashamed
ashamed"
仵,wu3,wǔ,"opponent
equal / well-matched / to violate"
柰,nai4,nài,"crab-apple / how can one help
crab-apple / how can one help"
棼,fen2,fén,"beams in roof / confused
beams in roof / confused"
氆,pu3,pǔ,"thick rough serge from Tibet
thick rough serge from Tibet"
镔,bin1,bīn,"fine steel
fine steel"
囝,jian3,jiǎn,"child
variant of 囡[nan1]"
犴,an4,àn,"jail
jail"
觇,zhan1 / chan1,zhān,"keep at / to spy
to observe / to spy on / Taiwan pr. [zhan1]"
钆,ga2,qíu,"gadolinium
gadolinium (chemistry)"
蝓,yu2,yú,"snail
snail"
貔,pi2,pí,"(leopard)
see 貔貅[pi2 xiu1], composite mythical animal (originally 貔 was the male)"
躞,xie4,xiè,"to walk
to walk"
氽,cuan1 / tun3,tǔn,"boil for a short time
to float / to deep-fry"
绂,fu2,fú,"ribbon for a seal / sash
ribbon for a seal / sash"
栲,kao3,kǎo,"mangrove
chinquapin (Castanopsis fargesii and other spp.), genus of evergreen trees"
鹎,bei1,bēi,"bird
the Pycnonotidae or bulbul family of birds"
襻,pan4,pàn,"a loop / a belt or band
loop / belt / band / to tie together / to stitch together"
祓,fu2,fú,"cleanse / remove evil
to cleanse / to remove evil / ritual for seeking good fortune and avoiding disaster"
骝,liu2,líu,"bay horse with black mane
bay horse with black mane"
砟,zha3,zhà,"fragments
fragments"
猱,nao2,náo,"(monkey) / scratch
macaque (zoology) / brisk and nimble / to scratch"
缵,zuan3,zuǎn,"carry on
to carry on / to succeed (of a familial line) / to inherit"
沔,mian3,miǎn,"inundation / name of a river
inundation / name of a river"
彖,tuan4,tuàn,"running hog
to foretell the future using the trigrams of the Book of Changes 易經|易经"
黻,fu2,fú,"(embroidery)
(embroidery)"
眢,yuan1,yuān,"inflamed eyelids / parched
inflamed eyelids / parched"
茛,gen4,gèn,"ranunculus
ranunculus"
蕈,xun4,xùn,"mold / mushroom
mold / mushroom"
骀,tai2 / dai4,tái,"tired / worn out horse
tired / worn out horse"
樨,xi1,xī,"Osmanthus fragrans
Osmanthus fragrans"
酡,tuo2,tuó,"flushed (from drinking)
flushed (from drinking)"
鳜,gui4,jué,"helicolenus
mandarin fish / Chinese perch (Siniperca chuatsi)"
觋,xi2,xí,"wizard
wizard"
礅,dun1,dūn,"stone block
stone block"
垆,lu2,lú,"clay / shop
clay / shop"
坻,chi2 / di3,chí,"islet / rock in river, place name
place name"
荇,xing4,xìng,"Limnanthemui nymphoides
yellow floating heart (Nymphoides peltatum)"
扃,jiong1,jiōng,"shut
(literary) to shut or bolt a door / door"
郗,chi1 / xi1,chī,"(surname) / name of an ancient city
surname Chi / name of an ancient city"
铈,shi4,shì,"cerium
cerium (chemistry)"
珙,gong3,gǒng,"(gem)
(gem)"
襞,bi4,bì,"creases / folds or pleats in a garment
creases / folds or pleats in a garment"
隈,wei1,wēi,"bay / cove
bay / cove"
荜,bi4,bì,"bean / pulse
bean / pulse"
溱,zhen1 / qin2,zhēn,"name of a river
name of a river"
酤,gu1,gū,"to deal in liquors
to deal in liquors"
圯,yi2,yí,"bridge, bank
bridge, bank"
柽,cheng1,jué,"tamarisk
tamarisk"
瞀,mao4,mào,"indistinct vision / dim
indistinct vision / dim"
铖,cheng2,chéng,"person's name
(used in people's names)"
粞,xi1,xī,"ground rice / thresh rice
ground rice / thresh rice"
撙,zun3,zǔn,"regulate / restrain
to reduce or cut down on / to rein in / to restrain"
铊,ta1,shé,"thallium
thallium (chemistry)"
圹,kuang4,kuàng,"tomb
tomb"
菝,ba2,bá,"smilax china
smilax china"
漶,huan4,huàn,"indecipherable
indecipherable"
缏,bian4,biàn,"braid
braid"
貊,mo4,mò,"name of a wild tribe / silent
name of a wild tribe / silent"
徂,cu2,cú,"to go / to reach
to go / to reach"
洎,ji4,jì,"to reach / when
to reach / when"
溽,ru4,rù,"damp / muggy
damp / muggy"
棰,chui2,chúi,"flog / whip
variant of 棰[chui2]"
艋,meng3,měng,"small boat
small boat"
聱,ao2,áo,"difficult to pronounce
difficult to pronounce"
尢,wang1 / you2,wāng,"lame
lame"
佾,yi4,yì,"row of dancers at sacrifices
row of dancers at sacrifices"
蕻,hong4 / hong2,hòng,"budding / flourishing
budding / flourishing"
狁,yun3,yǔn,"name of a tribe
name of a tribe"
绁,xie4,xiè,"leash / rein
variant of 紲|绁[xie4]"
慝,te4,tè,"evil thought
evil thought"
蜱,pi2,pí,"(insect) / egg of mantis
tick (zoology)"
埚,guo1,guō,"crucible
crucible"
堙,yin1,yīn,"bury / mound / to dam / close
variant of 堙[yin1] / to block"
萏,dan4,dàn,"lotus
lotus"
玟,min2 / wen2,mín,"jade-like stone, veins in jade
veins in jade"
椟,du2,dú,"cabinet / case / casket
cabinet / case / casket"
铗,jia2,jiá,"pincers for use at a fire / sword
pincers for use at a fire / sword"
踬,zhi4,zhì,"stumble
to stumble"
筚,bi4,bì,"wicker
wicker"
搠,shuo4,shuò,"daub / thrust
daub / thrust"
圉,yu3,yǔ,"stable, corral, enclosure / front
horse stable / frontier"
浍,kuai4 / hui4,kuài,"drain / stream
drain / stream"
蛸,shao1 / xiao1,shāo,"long-legged spider, Octopus octopodia / mantis egg nest
see 螵蛸[piao1 xiao1]"
芘,pi2,pí,"Malva sylvestris
Malva sylvestris"
惝,chang3 / tang3,chǎng,"disappointed, disappointed
disappointed / listless / frightened / also pr. [tang3]"
毵,san1,sān,"long-haired / shaggy
long-haired / shaggy"
酞,tai4,tài,"phthalein (chemical)
phthalein (chemistry)"
溷,hun4,hùn,"disordered / privy
privy / animal pen / muddy / disordered / to disturb"
搦,nuo4,nuò,"take hold
(literary) to hold (in the hand) / to challenge / to provoke"
帻,ze2,zé,"conical cap
turban / head-covering"
髫,tiao2,tiáo,"tufts of hair on children
(literary) hair hanging down in front (children's hairstyle)"
儇,xuan1,xuān,"ingenious / frivolous
ingenious / frivolous"
狴,bi4,bì,"(tapir)
(tapir)"
迮,ze2,zé,"haste / to press
haste / to press"
趱,zan3,zǎn,"hasten / urge
to hasten / to urge"
椠,qian4,qiàn,"wooden tablet / edition
wooden tablet / edition"
陔,gai1,gāi,"step / terrace
step / terrace"
坌,ben4,bèn,"bring together / dust
variant of 坋[ben4] / old variant of 笨[ben4]"
悃,kun3,kǔn,"sincere
sincere"
塍,cheng2,chéng,"raised path between fields
raised path between fields"
麈,zhu3,zhǔ,"leader of herd / stag
leader of herd / stag"
埒,lei4 / lie4,lèi,"enclosure, dike, embankment
(literary) equal / enclosure / dike / embankment / Taiwan pr. [le4]"
镡,tan2,tán,"(surname) / knob on a sword-handle
knob on a sword-handle"
镨,pu3,pǔ,"praseodymium
praseodymium (chemistry)"
琚,ju1,jū,"ornamental gems for belt
ornamental gems for belt"
觫,su4,sù,"tremble with fear
tremble with fear"
鲦,tiao2,tiáo,"Chub leuciehthys
Korean sharpbelly (fish, Hemiculter leucisculus) / chub"
刳,ku1,kū,"to cut open / rip up / scoop out
to cut open / rip up / scoop out"
拶,zan3 / za1,zǎn,"punish by squeezing fingers
to press or squeeze hard"
掊,pou2 / pou3,póu,"take up in both hands, break up / hit
break up / hit"
泐,le4,lè,"write
to write"
瘗,yi4,yì,"bury / sacrifice
bury / sacrifice"
雩,yu2,yú,"summer sacrifice for rain
summer sacrifice for rain"
檗,bo4,bò,"Phyllodendron amurense
Phellodendron amurense"
铟,yin1,yīn,"indium
indium (chemistry)"
蒗,lang4,làng,"(herb) / place name
(herb) / place name"
蝥,mao2 / mou2,máo,"Spanish fly / grain-eating grub
variant of 蟊[mao2]"
嚆,hao1,hāo,"sound / noise
sound / noise"
忮,zhi4,zhì,"aggressive
aggressive"
篌,hou2,hóu,"(mus. instr.)
(mus. instr.)"
卺,jin3,jǐn,"nuptial wine cup
nuptial wine cup"
郫,pi2,pí,"place name
place name"
犰,qiu2,qíu,"armadillo
armadillo"
狳,yu2,yú,"armadillo
armadillo"
蹁,pian2,pián,"to limp
to limp"
蓐,ru4,rù,"mat / rushes
mat / rushes"
蕞,zui4,zùi,"assemble / small
to assemble / small"
喈,jie1,jiē,"harmonious (of music)
harmonious (of music)"
戋,jian1,jiān,"narrow / small
narrow / small"
赙,fu4,fù,"contribute to funeral expenses
to contribute to funeral expenses"
磉,sang3,sǎng,"stone plinth
stone plinth"
铷,ru2,rǔ,"rubidium
rubidium (chemistry)"
邗,han2,hán,"name of an ancient river
name of an ancient river"
矧,shen3,shěn,"(interrog.)
(interrog.)"
舁,yu2,yú,"to lift / raise
to lift / to raise"
貅,xiu1,xīu,"(leopard)
see 貔貅[pi2 xiu1], composite mythical animal (originally 貅 was the female)"
骢,cong1,cōng,"buckskin horse
buckskin horse"
阼,zuo4,zuò,"steps leading to the eastern door
steps leading to the eastern door"
墁,man4,màn,"to plaster
to plaster"
攮,nang3,nǎng,"to fend off / to stab
to fend off / to stab"
柝,tuo4,tuò,"watchman's rattle
watchman's rattle"
梃,ting3,tǐng,"a club (weapon)
a club (weapon)"
眚,sheng3,shěng,"cataract of the eye / error
cataract of the eye / error"
箜,kong1,kōng,"ancient string music instrument
ancient harp / cf 箜篌, Chinese harp"
簏,lu4,lù,"box / basket
box / basket"
綮,qi3,qǐ,"embroidered banner
embroidered banner"
茇,ba2,bá,"betel
betel"
摅,shu1,shū,"set forth / to spread
set forth / to spread"
蜾,guo3,guǒ,"Eumenes pomiformis
Eumenes pomiformis"
箬,ruo4,ruò,"(bamboo) / skin of bamboo
(bamboo) / skin of bamboo"
鲻,zi1,zī,"Mugil cephalus / grey mullet
gray mullet (Mugil cephalus)"
埸,yi4,yì,"border
border"
颃,hang2,háng,"fly down
fly down"
蒹,jian1,jiān,"reed
reed"
瞍,sou3,sǒu,"blind
blind"
铫,diao4 / yao2,yáo,"pan with a long handle, (surname) / weeding tool
weeding tool"
觏,gou4,gòu,"complete / meet unexpectedly / see
complete / meet unexpectedly / see"
媵,ying4,yìng,"maid escorting bride to new home
maid escorting bride to new home / concubine"
钬,huo3,huó,"holmium
holmium (chemistry)"
襦,ru2,rú,"jacket / short coat
jacket / short coat"
簋,gui3,gǔi,"round basket of bamboo
ancient bronze food vessel with a round mouth and two or four handles / round basket of bamboo"
